author_id,author_name,work_id,page_title,creation_date,raw_character_count,original_cleaned_character_count,cleaned_character_count,han_character_count,removed_character_count,metadata_removed_character_count,metadata_removed_block_count,paragraph_count,sentence_count,segmented_token_count,short_interaction_count,multi_interaction_count,full_pinyin_success_count,initial_pinyin_success_count,alignment_failure_count,original_script_distribution,script_distribution,opencc_changed_character_count,boundary_sequence_count,punctuation_boundary_count,latin_or_digit_boundary_count,whitespace_boundary_count,other_symbol_boundary_count,original_cleaned_sha256,simplified_cleaned_sha256
da-author-etinjat-1c584251,Etinjat,da-work-1086212331,愚者漫吟游,2020-05-25,2046,1824,1824,839,222,0,0,9,10,485,484,366,850,850,0,simplified,simplified,0,118,24,1,95,0,e8f8b8a3981d1ab8504ec3127662b326697f7bcee8cb381b51bf0f4d687b1ac4,e8f8b8a3981d1ab8504ec3127662b326697f7bcee8cb381b51bf0f4d687b1ac4
da-author-agent-phage-bc08199e,Agent Phage,da-work-1133221610,死血,2020-05-30,3125,2857,2857,2097,268,268,1,8,58,1174,1173,961,2134,2134,0,simplified,simplified,0,213,195,69,38,2,1e7e87b09b6d1f50494aa7ebc64c3dd713f6226305324c8dea0b9e72faaf84ec,1e7e87b09b6d1f50494aa7ebc64c3dd713f6226305324c8dea0b9e72faaf84ec
da-author-etinjat-1c584251,Etinjat,da-work-1133955432,异学陆柒壹 若港梦华,2020-05-31,6479,6260,6260,4613,219,0,0,28,253,2617,2616,1733,4349,4349,0,mixed,simplified,7,884,869,1,81,9,9698e6a193965b597b1fb41266353f29e54c9ae65ec5c027762911fea776650a,9a691a0c14310fcd104040c35c512074f63905ddc9dcca438c7b971f464849a1
da-author-etinjat-1c584251,Etinjat,da-work-1148395730,🎴㉩🔪🙀,2020-06-11,1007,1008,1008,750,0,0,0,1,16,439,438,366,804,804,0,simplified,simplified,0,73,72,17,8,0,953d1efdf524a713735959b35d6f18973f3fc9e5db2e9afc58fe061a85b93af9,953d1efdf524a713735959b35d6f18973f3fc9e5db2e9afc58fe061a85b93af9
da-author-agent-phage-bc08199e,Agent Phage,da-work-1156352079,PS-01 问题,2020-06-15,4152,4150,4150,3496,2,0,0,4,177,2096,2095,1724,3819,3819,0,simplified,simplified,0,371,364,21,74,0,1f60940e6c179b39dbc4722ac760768171a52aa868e758a07f5c8f66128acb2b,1f60940e6c179b39dbc4722ac760768171a52aa868e758a07f5c8f66128acb2b
da-author-agent-phage-bc08199e,Agent Phage,da-work-1164253803,液体猫咪,2020-06-18,5492,2289,2289,1658,3203,3201,1,5,53,943,942,783,1725,1725,0,simplified,simplified,0,160,151,50,27,0,37bafd150219137842837211c43ba281d37705d8b02d59fb04147038164b2afa,37bafd150219137842837211c43ba281d37705d8b02d59fb04147038164b2afa
da-author-etinjat-1c584251,Etinjat,da-work-1165114729,最期之艦,2020-06-22,666,637,637,533,29,0,0,10,1,310,308,214,522,522,2,mixed,simplified,170,94,0,0,94,1,2daf13af45c0a9b959d445980366ede4c479defab31ab3ce65aa2d68c00220ea,73a4747fa10698234714f966361afd26fff38529e54556c9433aec8528cc3627
da-author-etinjat-1c584251,Etinjat,da-work-1165115409,黑桃皇后童谣集：神奇竖林大冒险,2020-06-22,247,245,245,206,2,0,0,2,3,117,116,86,202,202,0,simplified,simplified,0,30,17,0,13,1,4b8e0804309d6fa83b89ce5131a3f52eabe7bc7777a8159a4e7a4ce3f365468b,4b8e0804309d6fa83b89ce5131a3f52eabe7bc7777a8159a4e7a4ce3f365468b
da-author-etinjat-1c584251,Etinjat,da-work-1165120332,小雅 · 悠飔,2020-06-23,3261,2952,2952,1143,309,0,0,65,59,708,703,457,1160,1160,7,mixed,simplified,1,245,184,74,121,21,6274e296022f54c67d734e69d7965a585134bab42b2948d2c67be563b27e88be,9642089a76295a3993ad7be5edb49cee96e18c99e4767a8bb443f34b0201c781
da-author-breaddddd-d9923f3d,breaddddd,da-work-1165201965,文语谈 第九期：infas,2020-06-29,17060,16586,16586,12623,474,0,0,435,767,7978,7977,6318,14295,14295,0,simplified,simplified,0,1659,1458,250,569,1,aaf8f0c8176e23ff5ba8703562f8fafef1c35c253d34466c003559cce1ffc7ad,aaf8f0c8176e23ff5ba8703562f8fafef1c35c253d34466c003559cce1ffc7ad
