author,work_id,condition,n,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10
breaddddd,da-work-1311013939,initial_multi3,200,0.04,0.06,0.05288690476190476,0.91,3.0555555555555554
breaddddd,da-work-1311013939,initial_short,200,0.325,0.53,0.43067261904761905,0.365,2.3858267716535435
breaddddd,da-work-1312533781,full_multi3,200,0.48,0.68,0.5910119047619048,0.215,1.9745222929936306
breaddddd,da-work-1312533781,full_short,200,0.855,0.95,0.9092976190476191,0.005,1.306532663316583
breaddddd,da-work-1312533781,initial_multi3,200,0.08,0.12,0.11026984126984127,0.82,2.861111111111111
breaddddd,da-work-1312533781,initial_short,200,0.42,0.575,0.5115674603174604,0.275,2.372413793103448
breaddddd,da-work-1330077047,full_multi3,200,0.4,0.59,0.5040734126984127,0.305,2.1510791366906474
breaddddd,da-work-1330077047,full_short,200,0.73,0.925,0.8280972222222222,0.03,1.5154639175257731
breaddddd,da-work-1330077047,initial_multi3,200,0.105,0.16,0.13643055555555555,0.815,2.135135135135135
breaddddd,da-work-1330077047,initial_short,200,0.325,0.495,0.4181011904761905,0.41,2.2033898305084745
