author,rank,target,author_count,other_authors_count,author_rate,other_authors_rate,log2_rate_ratio_smoothed
Agent Phage,72,处理,5,8,0.00011904761904761905,4.761904761904762e-05,1.4150117372507622
Agent Phage,73,意识到,5,8,0.00011904761904761905,4.761904761904762e-05,1.4150117372507622
Agent Phage,74,我想,5,8,0.00011904761904761905,4.761904761904762e-05,1.4150117372507622
Agent Phage,75,现象,5,8,0.00011904761904761905,4.761904761904762e-05,1.4150117372507622
Agent Phage,76,观察,5,8,0.00011904761904761905,4.761904761904762e-05,1.4150117372507622
Agent Phage,77,错误,5,8,0.00011904761904761905,4.761904761904762e-05,1.4150117372507622
Agent Phage,78,之中,8,13,0.00019047619047619048,7.738095238095238e-05,1.3625443173566267
Agent Phage,79,了什么,6,10,0.00014285714285714287,5.9523809523809524e-05,1.3478975413922254
Agent Phage,80,没,20,32,0.0004761904761904762,0.00019047619047619048,1.3478975413922252
Agent Phage,81,这是,13,22,0.0003095238095238095,0.00013095238095238096,1.2837672039725099
Agent Phage,82,接触,5,9,0.00011904761904761905,5.357142857142857e-05,1.2630086438057124
Agent Phage,83,以及,15,26,0.00035714285714285714,0.00015476190476190475,1.2450867358084499
Agent Phage,84,你的,12,21,0.00028571428571428574,0.000125,1.2409823374757134
Agent Phage,85,超自然,6,11,0.00014285714285714287,6.547619047619048e-05,1.2223666593083664
Agent Phage,86,成为,7,13,0.00016666666666666666,7.738095238095238e-05,1.1926193159143141
Agent Phage,87,能够,7,13,0.00016666666666666666,7.738095238095238e-05,1.1926193159143141
Agent Phage,88,设备,7,13,0.00016666666666666666,7.738095238095238e-05,1.1926193159143141
Agent Phage,89,他们,29,53,0.0006904761904761905,0.00031547619047619046,1.1519773314169686
Agent Phage,90,的人,14,26,0.0003333333333333333,0.00015476190476190475,1.1519773314169686
Agent Phage,91,人的,5,10,0.00011904761904761905,5.9523809523809524e-05,1.1255051200557773
Agent Phage,92,们,5,10,0.00011904761904761905,5.9523809523809524e-05,1.1255051200557773
Agent Phage,93,身体,5,10,0.00011904761904761905,5.9523809523809524e-05,1.1255051200557773
Agent Phage,94,事,6,12,0.00014285714285714287,7.142857142857143e-05,1.1068894418884303
Agent Phage,95,也是,14,27,0.0003333333333333333,0.0001607142857142857,1.0995099115228328
Agent Phage,96,选择,7,14,0.00016666666666666666,8.333333333333333e-05,1.0930836423633998
Agent Phage,97,一下,10,20,0.0002380952380952381,0.00011904761904761905,1.0670884338304552
Agent Phage,98,至,10,21,0.0002380952380952381,0.000125,0.9999742379719184
Agent Phage,99,数据,7,15,0.00016666666666666666,8.928571428571429e-05,0.9999742379719184
Agent Phage,100,计划,7,15,0.00016666666666666666,8.928571428571429e-05,0.9999742379719184
Etinjat,1,曰,27,0,0.0006428571428571428,0.0,6.807329160029522
Etinjat,2,乃,18,0,0.00042857142857142855,0.0,6.247901751415504
Etinjat,3,貌,10,0,0.0002380952380952381,0.0,5.459405856609216
Etinjat,4,万物,7,0,0.00016666666666666666,0.0,4.9999742379719185
Etinjat,5,黄帝,7,0,0.00016666666666666666,0.0,4.9999742379719185
Etinjat,6,伏羲,6,0,0.00014285714285714287,0.0,4.807329160029522
Etinjat,7,叙事者,6,0,0.00014285714285714287,0.0,4.807329160029522
Etinjat,8,游音流,6,0,0.00014285714285714287,0.0,4.807329160029522
Etinjat,9,者之,6,0,0.00014285714285714287,0.0,4.807329160029522
Etinjat,10,逆模因,6,0,0.00014285714285714287,0.0,4.807329160029522
Etinjat,11,的叙事,12,1,0.00028571428571428574,5.9523809523809525e-06,4.70041395611301
Etinjat,12,乎,5,0,0.00011904761904761905,0.0,4.584936738693075
Etinjat,13,大梦,5,0,0.00011904761904761905,0.0,4.584936738693075
Etinjat,14,妖,5,0,0.00011904761904761905,0.0,4.584936738693075
Etinjat,15,客体,5,0,0.00011904761904761905,0.0,4.584936738693075
Etinjat,16,所谓的,5,0,0.00011904761904761905,0.0,4.584936738693075
Etinjat,17,框架,5,0,0.00011904761904761905,0.0,4.584936738693075
Etinjat,18,灵,5,0,0.00011904761904761905,0.0,4.584936738693075
Etinjat,19,鲛,5,0,0.00011904761904761905,0.0,4.584936738693075
Etinjat,20,叙事的,10,1,0.0002380952380952381,5.9523809523809525e-06,4.459405856609216
Etinjat,21,皆,15,2,0.00035714285714285714,1.1904761904761905e-05,4.4150117372507625
